Epochs,Train_Error,Test_Error
5,0.86030704,0.96739298
10,0.84142363,0.94738561
20,0.66110104,0.76435429
40,0.34388739,0.42531195
80,0.02383268,0.04660532
100,0.01494177,0.03958987
150,0.09998993,0.11343815
200,0.00378065,0.01802068
400,0.02665380,0.04014800
600,0.00052677,0.00803192
800,0.00079198,0.00936591
1000,0.00032200,0.00749487
2000,0.00029995,0.00988763
5000,0.00016458,0.01009748
10000,0.00017404,0.01157608
