Epochs,Train_Error,Test_Error
5,0.81116134,0.97416532
10,0.74060547,0.91023487
20,0.64454591,0.72413307
40,0.21090914,0.24498188
80,0.10591772,0.13312224
100,0.07651695,0.06800673
150,0.01793986,0.01676549
200,0.00705107,0.00806293
400,0.00241486,0.00387487
600,0.00119724,0.00187917
800,0.00103786,0.00139280
1000,0.00061883,0.00140243
