Epochs,Train_Error,Test_Error
5,1.06052065,1.34814978
10,0.91571981,0.97658974
20,0.73382825,0.93080539
40,0.34559453,0.39011642
80,0.15892300,0.24686867
100,0.01872111,0.04246309
150,0.00694981,0.01853187
200,0.01507833,0.02364201
300,0.00274656,0.01282926
400,0.00485036,0.01501916
600,0.00088555,0.00914255
800,0.00079100,0.00910071
1000,0.00057141,0.01227542
1500,0.00227593,0.01208013
