Epochs,Train_Error,Test_Error
1,0.68709338,0.70035803
2,4.30234528,4.43657589
3,0.23193011,0.22745755
4,0.10322803,0.11841395
5,0.39214796,0.38925534
10,0.16345702,0.18835105
20,0.20955253,0.23668349
30,0.14721149,0.17593588
40,0.33898455,0.37316069
50,0.57697773,0.59544790
60,0.58464187,0.54961032
70,0.55705684,0.54290736
80,0.35198814,0.39403912
90,0.64252800,0.67017579
100,0.87919599,0.87634486
